gbifID,datetime,decimalLatitude,decimalLongitude,air_temperature_7d,air_temperature_30d,precipitation_amount_7d,precipitation_amount_30d,specific_humidity_7d,specific_humidity_30d,surface_downwelling_shortwave_flux_in_air_7d,surface_downwelling_shortwave_flux_in_air_30d,wind_speed_7d,wind_speed_30d,wind_from_direction_7d,wind_from_direction_30d,relative_humidity_7d,relative_humidity_30d,potential_evapotranspiration_7d,potential_evapotranspiration_30d,burning_index_g_7d,burning_index_g_30d,dead_fuel_moisture_100hr_7d,dead_fuel_moisture_100hr_30d,dead_fuel_moisture_1000hr_7d,dead_fuel_moisture_1000hr_30d
5062654826,2023-07-04 00:00:00,44.143405,-110.998393,263.0,263.0,1.7000000476837158,1.7000000476837158,0.002489999867975712,0.002489999867975712,57.29999923706055,57.29999923706055,2.200000047683716,2.200000047683716,205.0,205.0,63.60000228881836,63.60000228881836,0.6000000238418579,0.6000000238418579,0.0,0.0,22.700000762939453,22.700000762939453,25.899999618530273,25.899999618530273
5062653789,2023-06-10 00:00:00,43.794822,-122.72558,274.1000061035156,274.1000061035156,2.299999952316284,2.299999952316284,0.0052999998442828655,0.0052999998442828655,37.900001525878906,37.900001525878906,5.300000190734863,5.300000190734863,229.0,229.0,84.20000457763672,84.20000457763672,0.30000001192092896,0.30000001192092896,0.0,0.0,22.399999618530273,22.399999618530273,29.700000762939453,29.700000762939453
5062653124,2023-10-07 00:00:00,45.762107,-122.24564,276.0,276.0,20.399999618530273,20.399999618530273,0.005239999853074551,0.005239999853074551,28.200000762939453,28.200000762939453,5.200000286102295,5.200000286102295,226.0,226.0,97.0,97.0,0.20000000298023224,0.20000000298023224,0.0,0.0,28.100000381469727,28.100000381469727,39.10000228881836,39.10000228881836
5062652952,2023-08-21 00:00:00,48.731798,-113.720353,266.79998779296875,266.79998779296875,19.0,19.0,0.0033199999015778303,0.0033199999015778303,47.5,47.5,6.599999904632568,6.599999904632568,252.0,252.0,99.4000015258789,99.4000015258789,0.0,0.0,0.0,0.0,25.600000381469727,25.600000381469727,30.5,30.5
5062652704,2023-06-29 00:00:00,48.305855,-117.007447,271.1000061035156,271.1000061035156,3.700000047683716,3.700000047683716,0.0039900001138448715,0.0039900001138448715,18.5,18.5,3.1000001430511475,3.1000001430511475,183.0,183.0,92.30000305175781,92.30000305175781,0.20000000298023224,0.20000000298023224,0.0,0.0,26.30000114440918,26.30000114440918,28.899999618530273,28.899999618530273
5062650563,2023-05-17 00:00:00,49.447447,-117.581956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5062649178,2023-09-13 00:00:00,46.32723,-122.157808,272.6000061035156,272.6000061035156,20.600000381469727,20.600000381469727,0.004479999653995037,0.004479999653995037,35.79999923706055,35.79999923706055,8.199999809265137,8.199999809265137,242.0,242.0,94.70000457763672,94.70000457763672,0.20000000298023224,0.20000000298023224,0.0,0.0,28.0,28.0,36.70000076293945,36.70000076293945
5062648837,2023-07-16 00:00:00,44.485562,-111.447922,261.8999938964844,261.8999938964844,0.0,0.0,0.0024399999529123306,0.0024399999529123306,55.60000228881836,55.60000228881836,3.200000047683716,3.200000047683716,203.0,203.0,74.20000457763672,74.20000457763672,0.4000000059604645,0.4000000059604645,12.0,12.0,23.0,23.0,24.399999618530273,24.399999618530273
5062648801,2023-07-06 00:00:00,47.318525,-121.252473,271.0,271.0,21.80000114440918,21.80000114440918,0.0045900000259280205,0.0045900000259280205,37.70000076293945,37.70000076293945,4.5,4.5,261.0,261.0,95.9000015258789,95.9000015258789,0.10000000149011612,0.10000000149011612,0.0,0.0,27.899999618530273,27.899999618530273,32.5,32.5
5062648234,2023-10-15 00:00:00,47.420143,-121.572435,273.1000061035156,273.1000061035156,46.10000228881836,46.10000228881836,0.004489999730139971,0.004489999730139971,34.79999923706055,34.79999923706055,4.400000095367432,4.400000095367432,259.0,259.0,87.5,87.5,0.20000000298023224,0.20000000298023224,0.0,0.0,27.30000114440918,27.30000114440918,35.29999923706055,35.29999923706055
5062648076,2023-09-02 00:00:00,48.825057,-113.733853,267.3999938964844,267.3999938964844,7.099999904632568,7.099999904632568,0.003279999829828739,0.003279999829828739,48.400001525878906,48.400001525878906,5.800000190734863,5.800000190734863,245.0,245.0,93.30000305175781,93.30000305175781,0.10000000149011612,0.10000000149011612,0.0,0.0,25.200000762939453,25.200000762939453,29.5,29.5
5062648072,2023-08-31 00:00:00,47.741246,-121.086722,267.6000061035156,267.6000061035156,36.79999923706055,36.79999923706055,0.004209999926388264,0.004209999926388264,40.400001525878906,40.400001525878906,7.0,7.0,224.0,224.0,94.0999984741211,94.0999984741211,0.10000000149011612,0.10000000149011612,0.0,0.0,27.200000762939453,27.200000762939453,33.70000076293945,33.70000076293945
5062648051,2023-08-24 00:00:00,47.626708,-123.7108,274.3999938964844,274.3999938964844,31.100000381469727,31.100000381469727,0.004749999847263098,0.004749999847263098,44.400001525878906,44.400001525878906,5.900000095367432,5.900000095367432,249.0,249.0,89.30000305175781,89.30000305175781,0.20000000298023224,0.20000000298023224,0.0,0.0,28.30000114440918,28.30000114440918,38.20000076293945,38.20000076293945
5062645680,2023-06-11 00:00:00,49.082169,-121.416617,271.5,271.5,8.100000381469727,8.100000381469727,0.004290000069886446,0.004290000069886446,45.5,45.5,4.800000190734863,4.800000190734863,231.0,231.0,91.5,91.5,0.10000000149011612,0.10000000149011612,0.0,0.0,30.0,30.0,36.29999923706055,36.29999923706055
5062645652,2023-06-06 00:00:00,49.595095,-121.125239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5062644749,2023-06-25 00:00:00,47.519688,-123.335908,275.5,275.5,15.800000190734863,15.800000190734863,0.004840000066906214,0.004840000066906214,53.79999923706055,53.79999923706055,6.200000286102295,6.200000286102295,247.0,247.0,81.70000457763672,81.70000457763672,0.5,0.5,0.0,0.0,27.899999618530273,27.899999618530273,35.70000076293945,35.70000076293945
