gbifID,datetime,decimalLatitude,decimalLongitude,gridmet_lat,gridmet_lon,gridmet_date,air_temperature,precipitation_amount,specific_humidity,relative_humidity,mean_vapor_pressure_deficit,potential_evapotranspiration,surface_downwelling_shortwave_flux_in_air,wind_speed,occurrence,elevation,soil_ph
1304442919.0,1987-07-06 00:00:00,44.4908,-109.9664,44.48333333333333,-109.97499996666669,1987-07-06 00:00:00,291.6000061035156,0.0,0.0048499996773898,84.0,0.8799999952316284,5.200000286102295,314.0,4.400000095367432,1,2375.0,6.3
,1991-03-03,40.878890354445645,-115.17651068284486,40.85833333333334,-115.18333330000002,1991-03-03,281.5,5.099999904632568,0.0044599999673664,100.0,0.199999988079071,2.1000001430511475,106.20000457763672,6.900000095367432,0,2371.0,6.7
4068926811.0,2009-06-28 00:00:00,44.4094,-116.078983,44.400000000000006,-116.05833330000002,2009-06-28 00:00:00,298.6000061035156,0.0,0.0045499997213482,26.600000381469727,1.5099999904632568,7.5,340.3999938964844,2.299999952316284,1,1874.0,6.2
,2002-01-07,45.2517702225226,-89.3449532008905,45.23333333333333,-89.34999996666667,2002-01-07,258.1000061035156,0.0,0.0015000000130385,55.900001525878906,0.0799999982118606,0.6000000238418579,91.5,4.900000095367432,0,463.0,5.1
,1980-08-09,46.91514723080921,-109.44025116475449,46.900000000000006,-109.43333330000002,1980-08-09,296.3999938964844,0.4000000059604645,0.0076299998909235,86.30000305175781,0.9699999690055848,5.900000095367432,230.5,3.6000001430511475,0,1570.0,6.7
,1987-08-19,44.817639686901856,-121.2088433638337,44.81666666666667,-121.22499996666669,1987-08-19,304.8999938964844,0.0,0.0056799999438226,73.4000015258789,2.069999933242798,6.400000095367432,295.8999938964844,3.1000001430511475,0,761.0,6.8
3925131332.0,2018-07-23 00:00:00,48.798762,-116.562706,48.81666666666667,-116.55833330000002,2018-07-23 00:00:00,295.79998779296875,0.0,0.0066599999554455,60.70000076293945,1.090000033378601,6.200000286102295,320.3999938964844,2.200000047683716,1,1794.0,5.2
,2007-03-29,44.48090445394491,-107.7810491062238,44.48333333333333,-107.76666663333334,2007-03-29,279.6000061035156,3.400000095367432,0.002600000007078,88.30000305175781,0.3400000035762787,3.6000001430511475,189.1999969482422,7.800000190734863,0,1361.0,7.8
,1996-03-26,40.88656339377724,-99.36596902341697,40.900000000000006,-99.34999996666669,1996-03-26,275.1000061035156,0.0,0.0015899999998509,94.70000457763672,0.1799999922513961,1.5,239.0,4.400000095367432,0,718.0,7.1
4070180512.0,1979-06-02 00:00:00,47.654857,-116.7162916,47.650000000000006,-116.72499996666669,1979-06-02 00:00:00,301.1000061035156,0.0,0.0067699998617172,29.600000381469727,1.5,6.300000190734863,300.8000183105469,3.700000047683716,1,790.0,6.4
,2012-05-30,44.80803241255733,-90.93227038729655,44.81666666666667,-90.93333330000002,2012-05-30,280.79998779296875,0.0,0.0055399998091161,74.0999984741211,0.5799999833106995,3.5,205.90000915527344,4.400000095367432,0,317.0,5.0
,2000-02-04,41.82362445610965,-92.24278772796252,41.81666666666667,-92.22499996666669,2000-02-04,265.3999938964844,0.0,0.0021299999207258,55.60000228881836,0.1199999973177909,0.800000011920929,70.4000015258789,6.400000095367432,0,269.0,6.2
,1980-08-14,39.8225786101474,-114.81444724749242,39.81666666666667,-114.80833330000002,1980-08-14,304.0,0.0,0.0054299999028444,56.400001525878906,2.109999895095825,10.300000190734863,273.8000183105469,4.300000190734863,0,1802.0,8.5
,2012-05-17,43.98995147503096,-118.06927552708986,43.98333333333333,-118.05833330000002,2012-05-17,279.6000061035156,0.0,0.0033299999777227,48.10000228881836,1.069999933242798,5.200000286102295,277.3000183105469,4.099999904632568,0,1438.0,6.9
1302579963.0,2002-07-19 00:00:00,45.962222,-117.880278,45.94166666666667,-117.89166663333334,2002-07-19 00:00:00,285.3999938964844,0.0,0.0068999999202787,60.10000228881836,1.3799999952316284,7.900000095367432,317.70001220703125,3.5,1,1583.0,5.9
,1993-09-11,44.551975527776506,-112.65578807204768,44.56666666666667,-112.64166663333334,1993-09-11,294.20001220703125,0.0,0.0038199999835342,44.400001525878906,1.2999999523162842,6.0,211.0,7.5,0,2372.0,6.1
,2018-03-27,44.92813472464146,-97.472732193861,44.94166666666667,-97.47499996666669,2018-03-27,269.79998779296875,0.0,0.0032099999953061,95.0,0.3299999833106994,2.200000047683716,238.40000915527344,3.900000095367432,0,561.0,7.3
2802575963.0,2020-06-11 00:00:00,45.224277,-121.694649,45.23333333333333,-121.68333330000002,2020-06-11 00:00:00,290.70001220703125,2.5,0.0065899998880922,73.0,0.6299999952316284,5.0,252.8000030517578,3.400000095367432,1,1207.0,5.4
,1982-01-22,40.62261482383497,-99.10273856725152,40.60833333333334,-99.09999996666669,1982-01-22,257.70001220703125,7.0,0.0013799999142065,43.29999923706055,0.1599999964237213,1.600000023841858,63.20000076293945,6.700000286102295,0,659.0,7.1
1304445246.0,2004-06-26 00:00:00,45.1733,-117.6121,45.19166666666667,-117.59999996666669,2004-06-26 00:00:00,296.1000061035156,0.4000000059604645,0.0064300000667572,59.400001525878906,1.149999976158142,8.100000381469727,351.0,4.300000190734863,1,1673.0,6.2
,2018-11-06,45.94959694208264,-86.07749173590592,45.94166666666667,-86.05833330000002,2018-11-06,275.20001220703125,10.90000057220459,0.0050499998033046,100.0,0.0,0.2000000029802322,48.900001525878906,5.700000286102295,0,175.0,
