gbifID,datetime,decimalLatitude,decimalLongitude,date,gridmet_lat,gridmet_lon,gridmet_date,air_temperature,precipitation_amount,specific_humidity,relative_humidity,mean_vapor_pressure_deficit,potential_evapotranspiration,surface_downwelling_shortwave_flux_in_air,wind_speed,occurrence
1304442919.0,1987-07-06,44.4908,-109.9664,1987-07-06 00:00:00,44.48333333333333,-109.97499996666669,1987-07-06 00:00:00,291.6000061035156,0.0,0.0048499996773898,84.0,0.8799999952316284,5.200000286102295,314.0,4.400000095367432,1
,1991-03-03,40.878890354445645,-115.17651068284486,,,,,,,,,,,,,0
4068926811.0,2009-06-28,44.4094,-116.078983,2009-06-28 00:00:00,44.400000000000006,-116.05833330000002,2009-06-28 00:00:00,298.6000061035156,0.0,0.0045499997213482,26.600000381469727,1.5099999904632568,7.5,340.3999938964844,2.299999952316284,1
,2002-01-07,45.251770222522595,-89.3449532008905,,,,,,,,,,,,,0
,1980-08-09,46.91514723080921,-109.44025116475447,,,,,,,,,,,,,0
,1987-08-19,44.817639686901856,-121.2088433638337,,,,,,,,,,,,,0
3925131332.0,2018-07-23,48.798762,-116.562706,2018-07-23 00:00:00,48.81666666666667,-116.55833330000002,2018-07-23 00:00:00,295.79998779296875,0.0,0.0066599999554455,60.70000076293945,1.090000033378601,6.200000286102295,320.3999938964844,2.200000047683716,1
,2007-03-29,44.48090445394491,-107.7810491062238,,,,,,,,,,,,,0
,1996-03-26,40.88656339377724,-99.36596902341697,,,,,,,,,,,,,0
4070180512.0,1979-06-02,47.654857,-116.7162916,1979-06-02 00:00:00,47.650000000000006,-116.72499996666669,1979-06-02 00:00:00,301.1000061035156,0.0,0.0067699998617172,29.600000381469727,1.5,6.300000190734863,300.8000183105469,3.700000047683716,1
,2012-05-30,44.80803241255733,-90.93227038729657,,,,,,,,,,,,,0
,2000-02-04,41.82362445610965,-92.24278772796251,,,,,,,,,,,,,0
,1980-08-14,39.822578610147396,-114.81444724749242,,,,,,,,,,,,,0
,2012-05-17,43.989951475030956,-118.06927552708986,,,,,,,,,,,,,0
1302579963.0,2002-07-19,45.962222,-117.880278,2002-07-19 00:00:00,45.94166666666667,-117.89166663333334,2002-07-19 00:00:00,285.3999938964844,0.0,0.0068999999202787,60.10000228881836,1.3799999952316284,7.900000095367432,317.70001220703125,3.5,1
,1981-02-07,47.00633621190901,-86.68090850532755,,,,,,,,,,,,,0
,1993-09-11,44.551975527776506,-112.65578807204768,,,,,,,,,,,,,0
,2018-03-27,44.92813472464146,-97.472732193861,,,,,,,,,,,,,0
2802575963.0,2020-06-11,45.224277,-121.694649,2020-06-11 00:00:00,45.23333333333333,-121.68333330000002,2020-06-11 00:00:00,290.70001220703125,2.5,0.0065899998880922,73.0,0.6299999952316284,5.0,252.8000030517578,3.400000095367432,1
,1982-01-22,40.62261482383497,-99.10273856725152,,,,,,,,,,,,,0
1304445246.0,2004-06-26,45.1733,-117.6121,2004-06-26 00:00:00,45.19166666666667,-117.59999996666669,2004-06-26 00:00:00,296.1000061035156,0.4000000059604645,0.0064300000667572,59.400001525878906,1.149999976158142,8.100000381469727,351.0,4.300000190734863,1
,2018-11-06,45.94959694208264,-86.07749173590592,,,,,,,,,,,,,0
,1979-12-18,48.12548217736439,-86.8069501831109,,,,,,,,,,,,,0
,1993-06-28,43.30210673951541,-114.91498567823089,,,,,,,,,,,,,0
,2004-09-10,42.33495615171673,-94.30338949086362,,,,,,,,,,,,,0
,2005-11-25,47.00029666328591,-86.8971796132968,,,,,,,,,,,,,0
,2008-08-10,42.971903357216775,-89.33535490885957,,,,,,,,,,,,,0
,2003-03-20,44.85589892732732,-119.63126865400417,,,,,,,,,,,,,0
,1990-06-17,44.78104307998214,-104.94482699427009,,,,,,,,,,,,,0
,2002-04-04,49.037214235242615,-94.4362875180611,,,,,,,,,,,,,0
,1984-05-01,44.63114305386174,-98.6537874906239,,,,,,,,,,,,,0
1304445265.0,2008-07-23,43.248,-122.2294,2008-07-23 00:00:00,43.23333333333333,-122.22499996666669,2008-07-23 00:00:00,275.70001220703125,0.0,0.0056599997915327,28.700000762939453,0.9799999594688416,6.700000286102295,337.6000061035156,3.1000001430511475,1
,2013-12-19,44.151619022002016,-122.66588134058202,,,,,,,,,,,,,0
,1982-09-23,47.68023984142023,-104.83024223146141,,,,,,,,,,,,,0
,1989-07-03,39.691582848102044,-94.41715605296856,,,,,,,,,,,,,0
,1983-06-20,41.72483471922758,-105.8924628822843,,,,,,,,,,,,,0
,2011-08-11,44.40263630785424,-97.41917149613644,,,,,,,,,,,,,0
,1981-01-28,40.00230345282632,-104.59821764763416,,,,,,,,,,,,,0
,2012-08-17,44.993627407385254,-98.63684288181285,,,,,,,,,,,,,0
1304445455.0,2004-07-27,44.3443,-122.0009,2004-07-27 00:00:00,44.35833333333333,-122.01666663333334,2004-07-27 00:00:00,302.70001220703125,0.0,0.0076899998821318,64.30000305175781,1.5499999523162842,8.0,319.3999938964844,3.0,1
1304442935.0,1990-08-04,45.5161,-110.4778,1990-08-04 00:00:00,45.525000000000006,-110.47499996666669,1990-08-04 00:00:00,294.20001220703125,0.0,0.0056300000287592,70.80000305175781,0.9799999594688416,5.300000190734863,276.8999938964844,1.899999976158142,1
2802799879.0,2013-06-29,46.330429,-121.748453,2013-06-29 00:00:00,46.31666666666667,-121.76666663333334,2013-06-29 00:00:00,296.1000061035156,0.6000000238418579,0.0093599995598196,75.0,0.8399999737739563,5.400000095367432,335.20001220703125,3.1000001430511475,1
,2004-01-14,40.598692540643995,-101.8650438894051,,,,,,,,,,,,,0
