gbifID,reproductiveCondition,occurrenceStatus,habitat,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,georeferencedDate,elevation,elevationAccuracy,datetime,date,gridmet_lat,gridmet_lon,gridmet_date,air_temperature,precipitation_amount,specific_humidity,relative_humidity,mean_vapor_pressure_deficit,potential_evapotranspiration,surface_downwelling_shortwave_flux_in_air,wind_speed
1304445541,,PRESENT,,,,,45.2067,-121.75,,,,1996-07-29,1996-07-29 00:00:00,45.19166666666667,-121.76666663333334,1996-07-29 00:00:00,300.6000061035156,0.0,0.00913000013679266,73.70000457763672,1.2899999618530273,7.599999904632568,325.70001220703125,3.4000000953674316
1304445537,,PRESENT,,,,,44.5379,-118.588,,,,2007-06-11,2007-06-11 00:00:00,44.525000000000006,-118.59999996666667,2007-06-11 00:00:00,290.3999938964844,0.0,0.0050200000405311584,36.79999923706055,0.6599999666213989,5.5,327.3999938964844,3.200000047683716
1304445536,,PRESENT,,,,,43.9282,-122.1205,,,,2004-07-27,2004-07-27 00:00:00,43.94166666666667,-122.09999996666667,2004-07-27 00:00:00,302.29998779296875,0.0,0.006259999703615904,57.0,1.709999918937683,7.900000095367432,324.8999938964844,2.5
1304445532,,PRESENT,,,,,44.0176,-122.4769,,,,2000-06-26,2000-06-26 00:00:00,44.025000000000006,-122.47499996666667,2000-06-26 00:00:00,286.79998779296875,0.0,0.00901000015437603,36.29999923706055,1.5699999332427979,6.900000095367432,342.8000183105469,3.799999952316284
1304445531,,PRESENT,forest,,,,44.309,-122.2406,,,,2002-06-22,2002-06-22 00:00:00,44.31666666666667,-122.22499996666667,2002-06-22 00:00:00,282.29998779296875,0.0,0.009269999340176582,93.9000015258789,0.7599999904632568,5.900000095367432,287.8000183105469,3.5
1304445529,,PRESENT,,,,,45.1733,-121.6179,,,,1998-04-28,1998-04-28 00:00:00,45.19166666666667,-121.59999996666667,1998-04-28 00:00:00,295.5,0.0,0.0064399996772408485,83.0999984741211,0.85999995470047,4.700000286102295,330.0,2.799999952316284
1304445527,,PRESENT,,,,,44.85,-122.3098,,,,1997-06-07,1997-06-07 00:00:00,44.858333333333334,-122.30833330000002,1997-06-07 00:00:00,290.5,0.4000000059604645,0.00774999987334013,61.5,0.28999999165534973,4.200000286102295,327.20001220703125,4.400000095367432
1304445526,,PRESENT,,,,,45.5687,-122.0949,,,,2004-06-17,2004-06-17 00:00:00,45.56666666666667,-122.09999996666667,2004-06-17 00:00:00,298.5,0.0,0.006309999618679285,59.70000076293945,1.2999999523162842,8.5,338.1000061035156,4.099999904632568
1304445524,,PRESENT,,,,,44.4197,-121.8571,,,,2008-08-16,2008-08-16 00:00:00,44.400000000000006,-121.84999996666667,2008-08-16 00:00:00,288.79998779296875,0.0,0.0064199999906122684,22.600000381469727,2.2300000190734863,6.700000286102295,278.0,1.7000000476837158
1304445520,,PRESENT,,,,,45.7504,-118.0512,,,,1980-07-03,1980-07-03 00:00:00,45.733333333333334,-118.05833330000002,1980-07-03 00:00:00,292.70001220703125,0.30000001192092896,0.0065299998968839645,100.0,0.6399999856948853,5.099999904632568,296.1000061035156,2.6000001430511475
1304445516,,PRESENT,,,,,45.3312,-121.7114,,,,1999-08-01,1999-08-01 00:00:00,45.31666666666667,-121.72499996666667,1999-08-01 00:00:00,294.0,0.0,0.00865000020712614,53.10000228881836,0.6100000143051147,5.300000190734863,325.5,2.799999952316284
1304445515,,PRESENT,,,,,42.7153,-122.1296,,,,2007-06-22,2007-06-22 00:00:00,42.733333333333334,-122.14166663333334,2007-06-22 00:00:00,291.5,0.0,0.005619999952614307,33.400001525878906,0.6499999761581421,5.900000095367432,349.0,3.700000047683716
1304445514,,PRESENT,,,,,43.9112,-122.0553,,,,1992-09-03,1992-09-03 00:00:00,43.900000000000006,-122.05833330000002,1992-09-03 00:00:00,280.6000061035156,7.200000286102295,0.008340000174939632,27.200000762939453,0.5799999833106995,4.900000095367432,257.8000183105469,4.599999904632568
1304445507,,PRESENT,,,,,43.5781,-122.3402,,,,2002-09-20,2002-09-20 00:00:00,43.56666666666667,-122.34999996666667,2002-09-20 00:00:00,293.20001220703125,0.0,0.005140000022947788,27.100000381469727,0.9599999785423279,3.700000047683716,233.3000030517578,3.0
1304445504,,PRESENT,,,,,42.0168,-123.4552,,,,1993-09-18,1993-09-18 00:00:00,42.025000000000006,-123.47499996666667,1993-09-18 00:00:00,291.0,0.0,0.005319999996572733,70.30000305175781,0.7400000095367432,3.299999952316284,240.8000030517578,2.700000047683716
1304445502,,PRESENT,,,,,45.312,-121.736,,,,2002-08-01,2002-08-01 00:00:00,45.31666666666667,-121.72499996666667,2002-08-01 00:00:00,279.5,0.0,0.005929999984800816,61.79999923706055,0.7099999785423279,6.099999904632568,330.1000061035156,4.300000190734863
1304445499,,PRESENT,,,,,45.0472,-121.8173,,,,1998-08-25,1998-08-25 00:00:00,45.06666666666667,-121.80833330000002,1998-08-25 00:00:00,297.0,0.0,0.006709999870508909,80.5999984741211,0.9799999594688416,4.700000286102295,284.8000183105469,3.6000001430511475
1304445497,,PRESENT,,,,,45.335,-121.3995,,,,1999-07-09,1999-07-09 00:00:00,45.31666666666667,-121.39166663333334,1999-07-09 00:00:00,301.70001220703125,0.0,0.006389999762177467,28.30000114440918,1.6200000047683716,8.5,348.5,3.0
