gbifID,datetime,decimalLatitude,decimalLongitude,date,gridmet_lat,gridmet_lon,gridmet_date,air_temperature,precipitation_amount,specific_humidity,relative_humidity,mean_vapor_pressure_deficit,potential_evapotranspiration,surface_downwelling_shortwave_flux_in_air,wind_speed
623695927,2011-07-14,46.91046,-121.15371,2011-07-14 00:00:00,46.900000000000006,-121.14166663333334,2011-07-14 00:00:00,277.20001220703125,0.0,0.005579999648034573,83.9000015258789,0.41999998688697815,4.0,225.6999969482422,4.0
5159141061,1995-05-28,45.6416995,-118.7671122,1995-05-28 00:00:00,45.650000000000006,-118.76666663333334,1995-05-28 00:00:00,301.5,0.0,0.005649999715387821,26.80000114440918,1.709999918937683,5.5,346.0,1.3000000715255737
5154560685,2008-08-27,44.49719,-121.80263,2008-08-27 00:00:00,44.483333333333334,-121.80833330000002,2008-08-27 00:00:00,276.8999938964844,0.800000011920929,0.005279999691992998,41.60000228881836,0.5899999737739563,4.599999904632568,268.5,3.299999952316284
5141070538,2011-08-05,44.495225,-116.085744,2011-08-05 00:00:00,44.483333333333334,-116.09999996666667,2011-08-05 00:00:00,280.20001220703125,0.0,0.006189999636262655,75.4000015258789,1.2300000190734863,6.900000095367432,311.3000183105469,2.9000000953674316
5140237943,2008-07-21,44.43371,-122.05117,2008-07-21 00:00:00,44.44166666666667,-122.05833330000002,2008-07-21 00:00:00,282.70001220703125,0.0,0.006839999929070473,32.20000076293945,1.1699999570846558,7.0,308.3999938964844,3.1000001430511475
5133184824,2020-07-24,45.04305,-116.581263,2020-07-24 00:00:00,45.025000000000006,-116.59999996666667,2020-07-24 00:00:00,299.1000061035156,0.0,0.006089999806135893,62.79999923706055,1.4199999570846558,7.700000286102295,330.3000183105469,3.0
5133104331,2016-08-03,44.710617,-121.859214,2016-08-03 00:00:00,44.69166666666667,-121.84999996666667,2016-08-03 00:00:00,296.1000061035156,0.0,0.006149999797344208,95.5,0.8799999952316284,5.0,325.70001220703125,3.4000000953674316
5103609834,1979-08-09,44.416667,-121.833333,1979-08-09 00:00:00,44.400000000000006,-121.84999996666667,1979-08-09 00:00:00,299.29998779296875,0.0,0.0048699998296797276,22.80000114440918,1.5399999618530273,5.599999904632568,319.8000183105469,2.5
5103602387,1991-07-26,43.9139214,-110.6380363,1991-07-26 00:00:00,43.900000000000006,-110.64166663333334,1991-07-26 00:00:00,278.8999938964844,0.6000000238418579,0.00723999971523881,95.0,1.1299999952316284,7.099999904632568,282.8000183105469,3.700000047683716
5103581336,1995-07-25,39.818851,-121.194582,1995-07-25 00:00:00,39.81666666666667,-121.18333330000002,1995-07-25 00:00:00,297.1000061035156,0.0,0.006399999838322401,31.399999618530273,1.3399999141693115,6.300000190734863,357.6000061035156,3.4000000953674316
5069978517,2014-07-27,44.363509,-122.076492,2014-07-27 00:00:00,44.358333333333334,-122.05833330000002,2014-07-27 00:00:00,298.20001220703125,0.0,0.007249999791383743,33.60000228881836,1.2599999904632568,6.800000190734863,286.3999938964844,2.799999952316284
5069742311,2017-08-05,41.972745,-123.322913,2017-08-05 00:00:00,41.983333333333334,-123.30833330000002,2017-08-05 00:00:00,300.29998779296875,0.0,0.006379999686032534,43.20000076293945,1.8299999237060547,5.599999904632568,312.3999938964844,1.899999976158142
5063957306,2014-07-19,44.177777,-121.8266,2014-07-19 00:00:00,44.19166666666667,-121.80833330000002,2014-07-19 00:00:00,295.3999938964844,0.0,0.008139999583363533,38.60000228881836,0.7199999690055847,6.099999904632568,318.8999938964844,3.9000000953674316
5063674455,2014-07-25,46.81951,-113.810688,2014-07-25 00:00:00,46.81666666666667,-113.80833330000002,2014-07-25 00:00:00,297.79998779296875,0.0,0.00571999978274107,24.700000762939453,1.2400000095367432,8.5,327.20001220703125,4.700000286102295
5062620163,2005-05-30,44.337681,-116.172078,2005-05-30 00:00:00,44.358333333333334,-116.18333330000002,2005-05-30 00:00:00,279.20001220703125,0.0,0.005909999832510948,35.29999923706055,0.7799999713897705,6.300000190734863,322.3000183105469,4.0
5062587239,2018-07-13,46.651361,-86.033514,2018-07-13 00:00:00,46.650000000000006,-86.01666663333334,2018-07-13 00:00:00,300.6000061035156,5.400000095367432,0.015960000455379486,100.0,0.14999999105930328,3.6000001430511475,243.3000030517578,3.799999952316284
5062525416,2017-08-06,48.708028,-117.038672,2017-08-06 00:00:00,48.69166666666667,-117.05833330000002,2017-08-06 00:00:00,303.6000061035156,0.0,0.007949999533593655,83.5999984741211,1.6399999856948853,5.599999904632568,298.3999938964844,2.299999952316284
5062471392,2018-08-04,43.638562,-110.799444,2018-08-04 00:00:00,43.650000000000006,-110.80833330000002,2018-08-04 00:00:00,295.5,0.0,0.004029999952763319,47.79999923706055,1.309999942779541,9.0,292.3000183105469,5.599999904632568
5037168309,2020-08-22,44.488695,-111.443383,2020-08-22 00:00:00,44.483333333333334,-111.43333330000002,2020-08-22 00:00:00,301.29998779296875,0.0,0.005709999706596136,56.79999923706055,1.7400000095367432,8.199999809265137,269.3000183105469,3.5
5037111807,2009-07-01,49.20428,-117.891583,2009-07-01 00:00:00,49.19166666666667,-117.89166663333334,2009-07-01 00:00:00,,,,,,,,
5036710002,2008-08-04,48.759613,-113.787022,2008-08-04 00:00:00,48.775000000000006,-113.76666663333334,2008-08-04 00:00:00,275.6000061035156,0.0,0.004449999891221523,34.79999923706055,0.7599999904632568,4.900000095367432,289.3000183105469,2.200000047683716
